Gebietseinheit,Aufenthaltstitel,GeoCode,Value
Friesland,Geflüchtete und geduldete Personen insgesamt,K03455,1935
Grafschaft Bentheim,Geflüchtete und geduldete Personen insgesamt,K03456,2445
Leer,Geflüchtete und geduldete Personen insgesamt,K03457,3325
Oldenburg,Geflüchtete und geduldete Personen insgesamt,K03458,2830
Osnabrück,Geflüchtete und geduldete Personen insgesamt,K03459,4700
Vechta,Geflüchtete und geduldete Personen insgesamt,K03460,3930
Wesermarsch,Geflüchtete und geduldete Personen insgesamt,K03461,1555
Wittmund,Geflüchtete und geduldete Personen insgesamt,K03462,810
Statistische Region Weser-Ems,Geflüchtete und geduldete Personen insgesamt,K034,55960
Niedersachsen,Geflüchtete und geduldete Personen insgesamt,K030,190140
Braunschweig Stadt,Geflüchtete und geduldete Personen insgesamt,K03101,3310
Salzgitter Stadt,Geflüchtete und geduldete Personen insgesamt,K03102,4505
Wolfsburg Stadt,Geflüchtete und geduldete Personen insgesamt,K03103,3170
Gifhorn,Geflüchtete und geduldete Personen insgesamt,K03151,2485
Göttingen,Geflüchtete und geduldete Personen insgesamt,K03159,3145
Goslar,Geflüchtete und geduldete Personen insgesamt,K03153,1665
Helmstedt,Geflüchtete und geduldete Personen insgesamt,K03154,2590
Northeim,Geflüchtete und geduldete Personen insgesamt,K03155,2890
Peine,Geflüchtete und geduldete Personen insgesamt,K03157,2235
Wolfenbüttel,Geflüchtete und geduldete Personen insgesamt,K03158,6365
Statistische Region Braunschweig,Geflüchtete und geduldete Personen insgesamt,K031,32360
Hannover Region,Geflüchtete und geduldete Personen insgesamt,K03241,35880
Hannover Landeshauptstadt,Geflüchtete und geduldete Personen insgesamt,K03241001,17180
Diepholz,Geflüchtete und geduldete Personen insgesamt,K03251,4660
Hameln-Pyrmont,Geflüchtete und geduldete Personen insgesamt,K03252,4230
Hildesheim,Geflüchtete und geduldete Personen insgesamt,K03254,6095
Holzminden,Geflüchtete und geduldete Personen insgesamt,K03255,1405
Nienburg (Weser),Geflüchtete und geduldete Personen insgesamt,K03256,3360
Schaumburg,Geflüchtete und geduldete Personen insgesamt,K03257,3970
Statistische Region Hannover,Geflüchtete und geduldete Personen insgesamt,K032,59600
Celle,Geflüchtete und geduldete Personen insgesamt,K03351,4630
Cuxhaven,Geflüchtete und geduldete Personen insgesamt,K03352,3735
Harburg,Geflüchtete und geduldete Personen insgesamt,K03353,3855
Lüchow-Dannenberg,Geflüchtete und geduldete Personen insgesamt,K03354,640
Lüneburg,Geflüchtete und geduldete Personen insgesamt,K03355,4050
Osterholz,Geflüchtete und geduldete Personen insgesamt,K03356,2085
Rotenburg (Wümme),Geflüchtete und geduldete Personen insgesamt,K03357,2890
Heidekreis,Geflüchtete und geduldete Personen insgesamt,K03358,2440
Stade,Geflüchtete und geduldete Personen insgesamt,K03359,4430
Uelzen,Geflüchtete und geduldete Personen insgesamt,K03360,1505
Verden,Geflüchtete und geduldete Personen insgesamt,K03361,3330
Statistische Region Lüneburg,Geflüchtete und geduldete Personen insgesamt,K033,33590
Delmenhorst.Stadt,Geflüchtete und geduldete Personen insgesamt,K03401,3195
Emden Stadt,Geflüchtete und geduldete Personen insgesamt,K03402,1315
Oldenburg (Oldb) Stadt,Geflüchtete und geduldete Personen insgesamt,K03403,4970
Osnabrück Stadt,Geflüchtete und geduldete Personen insgesamt,K03404,4795
Wilhelmshaven Stadt,Geflüchtete und geduldete Personen insgesamt,K03405,2680
Ammerland,Geflüchtete und geduldete Personen insgesamt,K03451,2385
Aurich,Geflüchtete und geduldete Personen insgesamt,K03452,3500
Cloppenburg,Geflüchtete und geduldete Personen insgesamt,K03453,3530
Emsland,Geflüchtete und geduldete Personen insgesamt,K03454,6330
Friesland,Geflüchtete und geduldete Personen insgesamt,K03455,1890
Grafschaft Bentheim,Geflüchtete und geduldete Personen insgesamt,K03456,2220
Leer,Geflüchtete und geduldete Personen insgesamt,K03457,2980
Oldenburg,Geflüchtete und geduldete Personen insgesamt,K03458,2905
Osnabrück,Geflüchtete und geduldete Personen insgesamt,K03459,4675
Vechta,Geflüchtete und geduldete Personen insgesamt,K03460,3730
Wesermarsch,Geflüchtete und geduldete Personen insgesamt,K03461,1540
Wittmund,Geflüchtete und geduldete Personen insgesamt,K03462,825
Statistische Region Weser-Ems,Geflüchtete und geduldete Personen insgesamt,K034,53460
Niedersachsen,Geflüchtete und geduldete Personen insgesamt,K030,179010
Braunschweig Stadt,Geflüchtete und geduldete Personen insgesamt,K03101,3240
Salzgitter Stadt,Geflüchtete und geduldete Personen insgesamt,K03102,3695
Wolfsburg Stadt,Geflüchtete und geduldete Personen insgesamt,K03103,2970
Gifhorn,Geflüchtete und geduldete Personen insgesamt,K03151,2255
Goslar,Geflüchtete und geduldete Personen insgesamt,K03153,1745
Helmstedt,Geflüchtete und geduldete Personen insgesamt,K03154,2510
Northeim,Geflüchtete und geduldete Personen insgesamt,K03155,2770
Peine,Geflüchtete und geduldete Personen insgesamt,K03157,2285
Wolfenbüttel,Geflüchtete und geduldete Personen insgesamt,K03158,6145
Statistische Region Braunschweig,Geflüchtete und geduldete Personen insgesamt,K031,30490
Hannover Region,Geflüchtete und geduldete Personen insgesamt,K03241,33230
Hannover Landeshauptstadt,Geflüchtete und geduldete Personen insgesamt,K03241001,15835
Diepholz,Geflüchtete und geduldete Personen insgesamt,K03251,4375
Hameln-Pyrmont,Geflüchtete und geduldete Personen insgesamt,K03252,3910
Hildesheim,Geflüchtete und geduldete Personen insgesamt,K03254,5785
Holzminden,Geflüchtete und geduldete Personen insgesamt,K03255,1415
Nienburg (Weser),Geflüchtete und geduldete Personen insgesamt,K03256,3075
Schaumburg,Geflüchtete und geduldete Personen insgesamt,K03257,3345
Statistische Region Hannover,Geflüchtete und geduldete Personen insgesamt,K032,55140
Celle,Geflüchtete und geduldete Personen insgesamt,K03351,3995
Cuxhaven,Geflüchtete und geduldete Personen insgesamt,K03352,3760
Harburg,Geflüchtete und geduldete Personen insgesamt,K03353,3970
Lüchow-Dannenberg,Geflüchtete und geduldete Personen insgesamt,K03354,705
Lüneburg,Geflüchtete und geduldete Personen insgesamt,K03355,3920
Osterholz,Geflüchtete und geduldete Personen insgesamt,K03356,1985
Rotenburg (Wümme),Geflüchtete und geduldete Personen insgesamt,K03357,2740
Heidekreis,Geflüchtete und geduldete Personen insgesamt,K03358,2655
Stade,Geflüchtete und geduldete Personen insgesamt,K03359,3870
Uelzen,Geflüchtete und geduldete Personen insgesamt,K03360,1445
Verden,Geflüchtete und geduldete Personen insgesamt,K03361,3090
Statistische Region Lüneburg,Geflüchtete und geduldete Personen insgesamt,K033,32125
Delmenhorst.Stadt,Geflüchtete und geduldete Personen insgesamt,K03401,2615
Emden Stadt,Geflüchtete und geduldete Personen insgesamt,K03402,1215
Oldenburg (Oldb) Stadt,Geflüchtete und geduldete Personen insgesamt,K03403,4355
Osnabrück Stadt,Geflüchtete und geduldete Personen insgesamt,K03404,4025
Wilhelmshaven Stadt,Geflüchtete und geduldete Personen insgesamt,K03405,1935
Ammerland,Geflüchtete und geduldete Personen insgesamt,K03451,2240
Aurich,Geflüchtete und geduldete Personen insgesamt,K03452,3565
Cloppenburg,Geflüchtete und geduldete Personen insgesamt,K03453,3460
Emsland,Geflüchtete und geduldete Personen insgesamt,K03454,5890
Friesland,Geflüchtete und geduldete Personen insgesamt,K03455,1540
Grafschaft Bentheim,Geflüchtete und geduldete Personen insgesamt,K03456,2345
Leer,Geflüchtete und geduldete Personen insgesamt,K03457,2835
Oldenburg,Geflüchtete und geduldete Personen insgesamt,K03458,3005
Osnabrück,Geflüchtete und geduldete Personen insgesamt,K03459,4215
Vechta,Geflüchtete und geduldete Personen insgesamt,K03460,3425
Wesermarsch,Geflüchtete und geduldete Personen insgesamt,K03461,1585
Wittmund,Geflüchtete und geduldete Personen insgesamt,K03462,870
Statistische Region Weser-Ems,Geflüchtete und geduldete Personen insgesamt,K034,49110
Niedersachsen,Geflüchtete und geduldete Personen insgesamt,K030,166865
Braunschweig Stadt,Geflüchtete und geduldete Personen insgesamt,K03101,2796
Salzgitter Stadt,Geflüchtete und geduldete Personen insgesamt,K03102,1753
Wolfsburg Stadt,Geflüchtete und geduldete Personen insgesamt,K03103,2158
Gifhorn,Geflüchtete und geduldete Personen insgesamt,K03151,1403
Goslar,Geflüchtete und geduldete Personen insgesamt,K03153,1561
Helmstedt,Geflüchtete und geduldete Personen insgesamt,K03154,980
Northeim,Geflüchtete und geduldete Personen insgesamt,K03155,1843
Peine,Geflüchtete und geduldete Personen insgesamt,K03157,2034
Wolfenbüttel,Geflüchtete und geduldete Personen insgesamt,K03158,1378
Statistische Region Braunschweig,Geflüchtete und geduldete Personen insgesamt,K031,20028
Hannover Region,Geflüchtete und geduldete Personen insgesamt,K03241,25306
Hannover Landeshauptstadt,Geflüchtete und geduldete Personen insgesamt,K03241001,13515
Diepholz,Geflüchtete und geduldete Personen insgesamt,K03251,2474
Hameln-Pyrmont,Geflüchtete und geduldete Personen insgesamt,K03252,2475
Hildesheim,Geflüchtete und geduldete Personen insgesamt,K03254,3733
Holzminden,Geflüchtete und geduldete Personen insgesamt,K03255,743
Nienburg (Weser),Geflüchtete und geduldete Personen insgesamt,K03256,1479
Schaumburg,Geflüchtete und geduldete Personen insgesamt,K03257,1754
Statistische Region Hannover,Geflüchtete und geduldete Personen insgesamt,K032,37964
Celle,Geflüchtete und geduldete Personen insgesamt,K03351,2457
Cuxhaven,Geflüchtete und geduldete Personen insgesamt,K03352,1975
Harburg,Geflüchtete und geduldete Personen insgesamt,K03353,2557
Lüchow-Dannenberg,Geflüchtete und geduldete Personen insgesamt,K03354,563
Lüneburg,Geflüchtete und geduldete Personen insgesamt,K03355,2433
Osterholz,Geflüchtete und geduldete Personen insgesamt,K03356,1302
Rotenburg (Wümme),Geflüchtete und geduldete Personen insgesamt,K03357,1594
Heidekreis,Geflüchtete und geduldete Personen insgesamt,K03358,1957
Stade,Geflüchtete und geduldete Personen insgesamt,K03359,2078
Uelzen,Geflüchtete und geduldete Personen insgesamt,K03360,932
Verden,Geflüchtete und geduldete Personen insgesamt,K03361,1694
Statistische Region Lüneburg,Geflüchtete und geduldete Personen insgesamt,K033,19542
Delmenhorst.Stadt,Geflüchtete und geduldete Personen insgesamt,K03401,1497
Emden Stadt,Geflüchtete und geduldete Personen insgesamt,K03402,631
Oldenburg (Oldb) Stadt,Geflüchtete und geduldete Personen insgesamt,K03403,2934
Osnabrück Stadt,Geflüchtete und geduldete Personen insgesamt,K03404,2503
Wilhelmshaven Stadt,Geflüchtete und geduldete Personen insgesamt,K03405,1118
Ammerland,Geflüchtete und geduldete Personen insgesamt,K03451,1297
Aurich,Geflüchtete und geduldete Personen insgesamt,K03452,2380
Cloppenburg,Geflüchtete und geduldete Personen insgesamt,K03453,1812
Emsland,Geflüchtete und geduldete Personen insgesamt,K03454,3180
Friesland,Geflüchtete und geduldete Personen insgesamt,K03455,942
Grafschaft Bentheim,Geflüchtete und geduldete Personen insgesamt,K03456,1400
Leer,Geflüchtete und geduldete Personen insgesamt,K03457,1464
Oldenburg,Geflüchtete und geduldete Personen insgesamt,K03458,1705
Osnabrück,Geflüchtete und geduldete Personen insgesamt,K03459,2093
Vechta,Geflüchtete und geduldete Personen insgesamt,K03460,1942
Wesermarsch,Geflüchtete und geduldete Personen insgesamt,K03461,935
Wittmund,Geflüchtete und geduldete Personen insgesamt,K03462,522
Statistische Region Weser-Ems,Geflüchtete und geduldete Personen insgesamt,K034,28355
Niedersachsen,Geflüchtete und geduldete Personen insgesamt,K030,105889
Braunschweig Stadt,Niederlassungserlaubnis ,K03101,400
Salzgitter Stadt,Niederlassungserlaubnis ,K03102,270
Wolfsburg Stadt,Niederlassungserlaubnis ,K03103,330
Gifhorn,Niederlassungserlaubnis ,K03151,170
Goslar,Niederlassungserlaubnis ,K03153,250
Helmstedt,Niederlassungserlaubnis ,K03154,95
Northeim,Niederlassungserlaubnis ,K03155,425
Peine,Niederlassungserlaubnis ,K03157,305
Wolfenbüttel,Niederlassungserlaubnis ,K03158,125
Göttingen,Niederlassungserlaubnis ,K03159,755
Statistische Region Braunschweig,Niederlassungserlaubnis ,K031,3120
Hannover Region,Niederlassungserlaubnis ,K03241,10095
Hannover Landeshauptstadt,Niederlassungserlaubnis ,K03241001,6480
Diepholz,Niederlassungserlaubnis ,K03251,420
Hameln-Pyrmont,Niederlassungserlaubnis ,K03252,760
Hildesheim,Niederlassungserlaubnis ,K03254,935
Holzminden,Niederlassungserlaubnis ,K03255,85
Nienburg (Weser),Niederlassungserlaubnis ,K03256,370
Schaumburg,Niederlassungserlaubnis ,K03257,350
Statistische Region Hannover,Niederlassungserlaubnis ,K032,13015
Celle,Niederlassungserlaubnis ,K03351,520
Cuxhaven,Niederlassungserlaubnis ,K03352,280
Harburg,Niederlassungserlaubnis ,K03353,430
Lüchow-Dannenberg,Niederlassungserlaubnis ,K03354,45
Lüneburg,Niederlassungserlaubnis ,K03355,320
Osterholz,Niederlassungserlaubnis ,K03356,250
Rotenburg (Wümme),Niederlassungserlaubnis ,K03357,350
Heidekreis,Niederlassungserlaubnis ,K03358,455
Stade,Niederlassungserlaubnis ,K03359,225
Uelzen,Niederlassungserlaubnis ,K03360,135
Verden,Niederlassungserlaubnis ,K03361,335
Statistische Region Lüneburg,Niederlassungserlaubnis ,K033,3345
Delmenhorst.Stadt,Niederlassungserlaubnis ,K03401,385
Emden Stadt,Niederlassungserlaubnis ,K03402,95
Oldenburg (Oldb) Stadt,Niederlassungserlaubnis ,K03403,735
Osnabrück Stadt,Niederlassungserlaubnis ,K03404,740
Wilhelmshaven Stadt,Niederlassungserlaubnis ,K03405,165
Ammerland,Niederlassungserlaubnis ,K03451,210
Aurich,Niederlassungserlaubnis ,K03452,340
Cloppenburg,Niederlassungserlaubnis ,K03453,445
Emsland,Niederlassungserlaubnis ,K03454,530
Friesland,Niederlassungserlaubnis ,K03455,135
Grafschaft Bentheim,Niederlassungserlaubnis ,K03456,100
Leer,Niederlassungserlaubnis ,K03457,220
Oldenburg,Niederlassungserlaubnis ,K03458,355
Osnabrück,Niederlassungserlaubnis ,K03459,500
Vechta,Niederlassungserlaubnis ,K03460,365
Wesermarsch,Niederlassungserlaubnis ,K03461,180
Wittmund,Niederlassungserlaubnis ,K03462,105
Statistische Region Weser-Ems,Niederlassungserlaubnis ,K034,5600
Niedersachsen,Niederlassungserlaubnis ,K030,25080
Braunschweig Stadt,Niederlassungserlaubnis ,K03101,450
Salzgitter Stadt,Niederlassungserlaubnis ,K03102,310
Wolfsburg Stadt,Niederlassungserlaubnis ,K03103,435
Gifhorn,Niederlassungserlaubnis ,K03151,200
Göttingen,Niederlassungserlaubnis ,K03159,280
Goslar,Niederlassungserlaubnis ,K03153,100
Helmstedt,Niederlassungserlaubnis ,K03154,460
Northeim,Niederlassungserlaubnis ,K03155,370
Peine,Niederlassungserlaubnis ,K03157,150
Wolfenbüttel,Niederlassungserlaubnis ,K03158,870
Statistische Region Braunschweig,Niederlassungserlaubnis ,K031,3620
Hannover Region,Niederlassungserlaubnis ,K03241,10725
Hannover Landeshauptstadt,Niederlassungserlaubnis ,K03241001,6715
Diepholz,Niederlassungserlaubnis ,K03251,545
Hameln-Pyrmont,Niederlassungserlaubnis ,K03252,810
Hildesheim,Niederlassungserlaubnis ,K03254,1020
Holzminden,Niederlassungserlaubnis ,K03255,100
Nienburg (Weser),Niederlassungserlaubnis ,K03256,455
Schaumburg,Niederlassungserlaubnis ,K03257,420
Statistische Region Hannover,Niederlassungserlaubnis ,K032,14075
Celle,Niederlassungserlaubnis ,K03351,675
Cuxhaven,Niederlassungserlaubnis ,K03352,315
Harburg,Niederlassungserlaubnis ,K03353,555
Lüchow-Dannenberg,Niederlassungserlaubnis ,K03354,55
Lüneburg,Niederlassungserlaubnis ,K03355,375
Osterholz,Niederlassungserlaubnis ,K03356,320
Rotenburg (Wümme),Niederlassungserlaubnis ,K03357,395
Heidekreis,Niederlassungserlaubnis ,K03358,485
Stade,Niederlassungserlaubnis ,K03359,265
Uelzen,Niederlassungserlaubnis ,K03360,160
Verden,Niederlassungserlaubnis ,K03361,425
Statistische Region Lüneburg,Niederlassungserlaubnis ,K033,4035
Delmenhorst.Stadt,Niederlassungserlaubnis ,K03401,420
Emden Stadt,Niederlassungserlaubnis ,K03402,100
Oldenburg (Oldb) Stadt,Niederlassungserlaubnis ,K03403,885
Osnabrück Stadt,Niederlassungserlaubnis ,K03404,815
Wilhelmshaven Stadt,Niederlassungserlaubnis ,K03405,195
Ammerland,Niederlassungserlaubnis ,K03451,255
Aurich,Niederlassungserlaubnis ,K03452,375
Cloppenburg,Niederlassungserlaubnis ,K03453,500
Emsland,Niederlassungserlaubnis ,K03454,605
Friesland,Niederlassungserlaubnis ,K03455,145
Grafschaft Bentheim,Niederlassungserlaubnis ,K03456,115
Leer,Niederlassungserlaubnis ,K03457,245
Oldenburg,Niederlassungserlaubnis ,K03458,435
Osnabrück,Niederlassungserlaubnis ,K03459,605
Vechta,Niederlassungserlaubnis ,K03460,450
Wesermarsch,Niederlassungserlaubnis ,K03461,195
Wittmund,Niederlassungserlaubnis ,K03462,110
Statistische Region Weser-Ems,Niederlassungserlaubnis ,K034,6445
Niedersachsen,Niederlassungserlaubnis ,K030,28175
Braunschweig Stadt,Niederlassungserlaubnis ,K03101,425
Salzgitter Stadt,Niederlassungserlaubnis ,K03102,315
Wolfsburg Stadt,Niederlassungserlaubnis ,K03103,470
Gifhorn,Niederlassungserlaubnis ,K03151,215
Göttingen,Niederlassungserlaubnis ,K03159,280
Goslar,Niederlassungserlaubnis ,K03153,105
Helmstedt,Niederlassungserlaubnis ,K03154,460
Northeim,Niederlassungserlaubnis ,K03155,380
Peine,Niederlassungserlaubnis ,K03157,155
Wolfenbüttel,Niederlassungserlaubnis ,K03158,885
Statistische Region Braunschweig,Niederlassungserlaubnis ,K031,3695
Hannover Region,Niederlassungserlaubnis ,K03241,10700
Hannover Landeshauptstadt,Niederlassungserlaubnis ,K03241001,6675
Diepholz,Niederlassungserlaubnis ,K03251,540
Hameln-Pyrmont,Niederlassungserlaubnis ,K03252,815
Hildesheim,Niederlassungserlaubnis ,K03254,1045
Holzminden,Niederlassungserlaubnis ,K03255,105
Nienburg (Weser),Niederlassungserlaubnis ,K03256,485
Schaumburg,Niederlassungserlaubnis ,K03257,425
Statistische Region Hannover,Niederlassungserlaubnis ,K032,14110
Celle,Niederlassungserlaubnis ,K03351,715
Cuxhaven,Niederlassungserlaubnis ,K03352,315
Harburg,Niederlassungserlaubnis ,K03353,535
Lüchow-Dannenberg,Niederlassungserlaubnis ,K03354,60
Lüneburg,Niederlassungserlaubnis ,K03355,400
Osterholz,Niederlassungserlaubnis ,K03356,325
Rotenburg (Wümme),Niederlassungserlaubnis ,K03357,395
Heidekreis,Niederlassungserlaubnis ,K03358,480
Stade,Niederlassungserlaubnis ,K03359,260
Uelzen,Niederlassungserlaubnis ,K03360,155
Verden,Niederlassungserlaubnis ,K03361,420
Statistische Region Lüneburg,Niederlassungserlaubnis ,K033,4060
Delmenhorst.Stadt,Niederlassungserlaubnis ,K03401,430
Emden Stadt,Niederlassungserlaubnis ,K03402,95
Oldenburg (Oldb) Stadt,Niederlassungserlaubnis ,K03403,980
Osnabrück Stadt,Niederlassungserlaubnis ,K03404,835
Wilhelmshaven Stadt,Niederlassungserlaubnis ,K03405,220
Ammerland,Niederlassungserlaubnis ,K03451,250
Aurich,Niederlassungserlaubnis ,K03452,375
Cloppenburg,Niederlassungserlaubnis ,K03453,515
Emsland,Niederlassungserlaubnis ,K03454,590
Friesland,Niederlassungserlaubnis ,K03455,150
Grafschaft Bentheim,Niederlassungserlaubnis ,K03456,115
Leer,Niederlassungserlaubnis ,K03457,250
Oldenburg,Niederlassungserlaubnis ,K03458,490
Osnabrück,Niederlassungserlaubnis ,K03459,595
Vechta,Niederlassungserlaubnis ,K03460,455
Wesermarsch,Niederlassungserlaubnis ,K03461,200
Wittmund,Niederlassungserlaubnis ,K03462,110
Statistische Region Weser-Ems,Niederlassungserlaubnis ,K034,6650
Niedersachsen,Niederlassungserlaubnis ,K030,28515
Braunschweig Stadt,Niederlassungserlaubnis ,K03101,420
Salzgitter Stadt,Niederlassungserlaubnis ,K03102,300
Wolfsburg Stadt,Niederlassungserlaubnis ,K03103,465
Gifhorn,Niederlassungserlaubnis ,K03151,215
Göttingen,Niederlassungserlaubnis ,K03159,280
Goslar,Niederlassungserlaubnis ,K03153,95
Helmstedt,Niederlassungserlaubnis ,K03154,460
Northeim,Niederlassungserlaubnis ,K03155,395
Peine,Niederlassungserlaubnis ,K03157,165
Wolfenbüttel,Niederlassungserlaubnis ,K03158,900
Statistische Region Braunschweig,Niederlassungserlaubnis ,K031,3695
Hannover Region,Niederlassungserlaubnis ,K03241,10740
Hannover Landeshauptstadt,Niederlassungserlaubnis ,K03241001,6705
Diepholz,Niederlassungserlaubnis ,K03251,530
Hameln-Pyrmont,Niederlassungserlaubnis ,K03252,805
