Year,Gebietseinheit,Zimmer,GeoCode,Value
2017,Hann.Reg.(oh.Ha,1_Zimmer ,K0241900,27
2017,Diepholz,1_Zimmer ,K0251,3
2017,Hameln-Pyrmont,1_Zimmer ,K0252,0
2017,Hameln-Stadt,1_Zimmer ,K0252006,0
2017,Hameln-Pyrmont,1_Zimmer ,K0252900,0
2017,Hildesheim,1_Zimmer ,K0254,4
2017,Hildesheim-Stad,1_Zimmer ,K0254021,4
2017,Hildesheim(oh.H,1_Zimmer ,K0254900,0
2017,Holzminden,1_Zimmer ,K0255,3
2017,Nienburg (Weser,1_Zimmer ,K0256,4
2017,Schaumburg,1_Zimmer ,K0257,0
2017,Lüneburg,1_Zimmer ,K03,250
2017,Celle,1_Zimmer ,K0351,7
2017,Celle-Stadt,1_Zimmer ,K0351006,6
2017,Celle (oh.Celle,1_Zimmer ,K0351900,1
2017,Cuxhaven,1_Zimmer ,K0352,2
2017,Cuxhaven-Stadt,1_Zimmer ,K0352011,1
2017,Cuxhaven (oh. C,1_Zimmer ,K0352900,1
2017,Harburg,1_Zimmer ,K0353,20
2017,Lüchow-Dannenbe,1_Zimmer ,K0354,3
2017,Lüneburg,1_Zimmer ,K0355,101
2017,Lüneburg-Hanses,1_Zimmer ,K0355022,3
2017,Lüneburg (oh. L,1_Zimmer ,K0355900,98
2017,Osterholz,1_Zimmer ,K0356,8
2017,Rotenburg (Wümm,1_Zimmer ,K0357,23
2017,Heidekreis,1_Zimmer ,K0358,34
2017,Stade,1_Zimmer ,K0359,39
2017,Stade-Hansestad,1_Zimmer ,K0359038,1
2017,Stade (oh.Stade,1_Zimmer ,K0359900,40
2017,Uelzen,1_Zimmer ,K0360,2
2017,Verden,1_Zimmer ,K0361,11
2017,Weser-Ems,1_Zimmer ,K04,271
2017,Delmenhorst-Sta,1_Zimmer ,K0401,2
2017,Emden-Stadt,1_Zimmer ,K0402,2
2017,Oldenburg(Oldb),1_Zimmer ,K0403,66
2017,Osnabrück-Stadt,1_Zimmer ,K0404,74
2017,Wilhelmshaven-S,1_Zimmer ,K0405,1
2017,Ammerland,1_Zimmer ,K0451,18
2017,Aurich,1_Zimmer ,K0452,8
2017,Cloppenburg,1_Zimmer ,K0453,1
2017,Emsland,1_Zimmer ,K0454,19
2017,Lingen (Ems)-St,1_Zimmer ,K0454032,3
2017,Emsland (oh. Li,1_Zimmer ,K0454900,16
2017,Friesland,1_Zimmer ,K0455,27
2017,Grafschaft Bent,1_Zimmer ,K0456,3
2017,Nordhorn-Stadt,1_Zimmer ,K0456015,2
2017,Grfsch.Bentheim,1_Zimmer ,K0456900,1
2017,Leer,1_Zimmer ,K0457,7
2017,Oldenburg,1_Zimmer ,K0458,1
2017,Osnabrück,1_Zimmer ,K0459,28
2017,Melle-Stadt,1_Zimmer ,K0459024,2
2017,Osnabrück (oh.M,1_Zimmer ,K0459900,26
2017,Vechta,1_Zimmer ,K0460,6
2017,Wesermarsch,1_Zimmer ,K0461,4
2017,Wittmund,1_Zimmer ,K0462,4
2017,Niedersachsen,2_Zimmer,K00,4883
2017,Braunschweig,2_Zimmer,K01,713
2017,Braunschweig-St,2_Zimmer,K0101,106
2017,Salzgitter-Stad,2_Zimmer,K0102,3
2017,Wolfsburg-Stadt,2_Zimmer,K0103,139
2017,Gifhorn,2_Zimmer,K0151,58
2017,Goslar,2_Zimmer,K0153,15
2017,Goslar-Stadt,2_Zimmer,K0153017,0
2017,Goslar (oh. Gos,2_Zimmer,K0153900,15
2017,Helmstedt,2_Zimmer,K0154,26
2017,Northeim,2_Zimmer,K0155,83
2017,Peine,2_Zimmer,K0157,61
2017,Peine-Stadt,2_Zimmer,K0157006,48
2017,Peine (oh. Pein,2_Zimmer,K0157900,13
2017,Wolfenbüttel,2_Zimmer,K0158,88
2017,Wolfenbüttel-St,2_Zimmer,K0158037,21
2017,Wolfenbüttel (o,2_Zimmer,K0158900,67
2017,Göttingen,2_Zimmer,K0159,134
2017,Göttingen-Stadt,2_Zimmer,K0159016,92
2017,Göttingen (oh.,2_Zimmer,K0159900,42
2017,Hannover,2_Zimmer,K02,976
2017,Hannover-Region,2_Zimmer,K0241,696
2017,Hannover-Landes,2_Zimmer,K0241001,319
2017,Garbsen-Stadt,2_Zimmer,K0241005,18
2017,Langenhagen-Sta,2_Zimmer,K0241010,70
2017,Hann.Reg.(oh.Ha,2_Zimmer,K0241900,289
2017,Diepholz,2_Zimmer,K0251,90
2017,Hameln-Pyrmont,2_Zimmer,K0252,11
2017,Hameln-Stadt,2_Zimmer,K0252006,9
2017,Hameln-Pyrmont,2_Zimmer,K0252900,2
2017,Hildesheim,2_Zimmer,K0254,95
2017,Hildesheim-Stad,2_Zimmer,K0254021,50
2017,Hildesheim(oh.H,2_Zimmer,K0254900,45
2017,Holzminden,2_Zimmer,K0255,18
2017,Nienburg (Weser,2_Zimmer,K0256,26
2017,Schaumburg,2_Zimmer,K0257,40
2017,Lüneburg,2_Zimmer,K03,1146
2017,Celle,2_Zimmer,K0351,60
2017,Celle-Stadt,2_Zimmer,K0351006,15
2017,Celle (oh.Celle,2_Zimmer,K0351900,45
2017,Cuxhaven,2_Zimmer,K0352,71
2017,Cuxhaven-Stadt,2_Zimmer,K0352011,34
2017,Cuxhaven (oh. C,2_Zimmer,K0352900,37
2017,Harburg,2_Zimmer,K0353,366
2017,Lüchow-Dannenbe,2_Zimmer,K0354,25
2017,Lüneburg,2_Zimmer,K0355,59
2017,Lüneburg-Hanses,2_Zimmer,K0355022,33
2017,Lüneburg (oh. L,2_Zimmer,K0355900,26
2017,Osterholz,2_Zimmer,K0356,71
2017,Rotenburg (Wümm,2_Zimmer,K0357,75
2017,Heidekreis,2_Zimmer,K0358,104
2017,Stade,2_Zimmer,K0359,239
2017,Stade-Hansestad,2_Zimmer,K0359038,68
2017,Stade (oh.Stade,2_Zimmer,K0359900,171
2017,Uelzen,2_Zimmer,K0360,17
2017,Verden,2_Zimmer,K0361,59
2017,Weser-Ems,2_Zimmer,K04,2048
2017,Delmenhorst-Sta,2_Zimmer,K0401,19
2017,Emden-Stadt,2_Zimmer,K0402,2
2017,Oldenburg(Oldb),2_Zimmer,K0403,313
2017,Osnabrück-Stadt,2_Zimmer,K0404,74
2017,Wilhelmshaven-S,2_Zimmer,K0405,17
2017,Ammerland,2_Zimmer,K0451,220
2017,Aurich,2_Zimmer,K0452,183
2017,Cloppenburg,2_Zimmer,K0453,89
2017,Emsland,2_Zimmer,K0454,344
2017,Lingen (Ems)-St,2_Zimmer,K0454032,158
2017,Emsland (oh. Li,2_Zimmer,K0454900,186
2017,Friesland,2_Zimmer,K0455,170
2017,Grafschaft Bent,2_Zimmer,K0456,128
2017,Nordhorn-Stadt,2_Zimmer,K0456015,77
2017,Grfsch.Bentheim,2_Zimmer,K0456900,51
2017,Leer,2_Zimmer,K0457,76
2017,Oldenburg,2_Zimmer,K0458,43
2017,Osnabrück,2_Zimmer,K0459,184
2017,Melle-Stadt,2_Zimmer,K0459024,36
2017,Osnabrück (oh.M,2_Zimmer,K0459900,148
2017,Vechta,2_Zimmer,K0460,108
2017,Wesermarsch,2_Zimmer,K0461,24
2017,Wittmund,2_Zimmer,K0462,54
2017,Niedersachsen,3_Zimmer,K00,7144
2017,Braunschweig,3_Zimmer,K01,1051
2017,Braunschweig-St,3_Zimmer,K0101,154
2017,Salzgitter-Stad,3_Zimmer,K0102,20
2017,Wolfsburg-Stadt,3_Zimmer,K0103,287
2017,Gifhorn,3_Zimmer,K0151,113
2017,Goslar,3_Zimmer,K0153,11
2017,Goslar-Stadt,3_Zimmer,K0153017,1
2017,Goslar (oh. Gos,3_Zimmer,K0153900,12
2017,Helmstedt,3_Zimmer,K0154,23
2017,Northeim,3_Zimmer,K0155,50
2017,Peine,3_Zimmer,K0157,123
2017,Peine-Stadt,3_Zimmer,K0157006,67
2017,Peine (oh. Pein,3_Zimmer,K0157900,56
2017,Wolfenbüttel,3_Zimmer,K0158,61
2017,Wolfenbüttel-St,3_Zimmer,K0158037,48
2017,Wolfenbüttel (o,3_Zimmer,K0158900,13
2017,Göttingen,3_Zimmer,K0159,209
2017,Göttingen-Stadt,3_Zimmer,K0159016,103
2017,Göttingen (oh.,3_Zimmer,K0159900,106
2017,Hannover,3_Zimmer,K02,1240
2017,Hannover-Region,3_Zimmer,K0241,811
2017,Hannover-Landes,3_Zimmer,K0241001,297
2017,Garbsen-Stadt,3_Zimmer,K0241005,44
2017,Langenhagen-Sta,3_Zimmer,K0241010,88
2017,Hann.Reg.(oh.Ha,3_Zimmer,K0241900,382
2017,Diepholz,3_Zimmer,K0251,202
2017,Hameln-Pyrmont,3_Zimmer,K0252,18
2017,Hameln-Stadt,3_Zimmer,K0252006,18
2017,Hameln-Pyrmont,3_Zimmer,K0252900,0
2017,Hildesheim,3_Zimmer,K0254,71
2017,Hildesheim-Stad,3_Zimmer,K0254021,38
2017,Hildesheim(oh.H,3_Zimmer,K0254900,33
2017,Holzminden,3_Zimmer,K0255,3
2017,Nienburg (Weser,3_Zimmer,K0256,66
2017,Schaumburg,3_Zimmer,K0257,69
2017,Lüneburg,3_Zimmer,K03,1781
2017,Celle,3_Zimmer,K0351,146
2017,Celle-Stadt,3_Zimmer,K0351006,47
2017,Celle (oh.Celle,3_Zimmer,K0351900,99
2017,Cuxhaven,3_Zimmer,K0352,146
2017,Cuxhaven-Stadt,3_Zimmer,K0352011,60
2017,Cuxhaven (oh. C,3_Zimmer,K0352900,86
2017,Harburg,3_Zimmer,K0353,444
2017,Lüchow-Dannenbe,3_Zimmer,K0354,40
2017,Lüneburg,3_Zimmer,K0355,122
2017,Lüneburg-Hanses,3_Zimmer,K0355022,65
2017,Lüneburg (oh. L,3_Zimmer,K0355900,57
2017,Osterholz,3_Zimmer,K0356,94
2017,Rotenburg (Wümm,3_Zimmer,K0357,147
2017,Heidekreis,3_Zimmer,K0358,137
2017,Stade,3_Zimmer,K0359,262
2017,Stade-Hansestad,3_Zimmer,K0359038,52
2017,Stade (oh.Stade,3_Zimmer,K0359900,210
2017,Uelzen,3_Zimmer,K0360,70
2017,Verden,3_Zimmer,K0361,173
2017,Weser-Ems,3_Zimmer,K04,3072
2017,Delmenhorst-Sta,3_Zimmer,K0401,51
2017,Emden-Stadt,3_Zimmer,K0402,13
2017,Oldenburg(Oldb),3_Zimmer,K0403,321
2017,Osnabrück-Stadt,3_Zimmer,K0404,122
2017,Wilhelmshaven-S,3_Zimmer,K0405,13
2017,Ammerland,3_Zimmer,K0451,232
2017,Aurich,3_Zimmer,K0452,213
2017,Cloppenburg,3_Zimmer,K0453,205
2017,Emsland,3_Zimmer,K0454,532
2017,Lingen (Ems)-St,3_Zimmer,K0454032,198
2017,Emsland (oh. Li,3_Zimmer,K0454900,334
2017,Friesland,3_Zimmer,K0455,118
2017,Grafschaft Bent,3_Zimmer,K0456,124
2017,Nordhorn-Stadt,3_Zimmer,K0456015,48
2017,Grfsch.Bentheim,3_Zimmer,K0456900,76
2017,Leer,3_Zimmer,K0457,271
2017,Oldenburg,3_Zimmer,K0458,104
2017,Osnabrück,3_Zimmer,K0459,340
2017,Melle-Stadt,3_Zimmer,K0459024,33
2017,Osnabrück (oh.M,3_Zimmer,K0459900,307
2017,Vechta,3_Zimmer,K0460,216
2017,Wesermarsch,3_Zimmer,K0461,113
2017,Wittmund,3_Zimmer,K0462,84
